"x"
"1" ""
"x"
"1" "H1_13"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"20","H2-10-4","H2-10-2",4.66666666666667,0.577350269189626,7,1.73205080756888,-2.33333333333333
"1","H2-10-1","H2-10-2",6.66666666666667,1.52752523165195,9.33333333333333,0.577350269189626,-2.66666666666667
"29","H2-10-6","H2-10-2",4,0,6.66666666666667,0.577350269189626,-2.66666666666667
"33","H2-10-7","H2-10-2",2,0,5,0.577350269189626,-3
"x"
"1" "
"
"x"
"1" "H2_9"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"4","H2-9-none","H2-9-1",9,0,0,0,9
"2","H2-9-1","H2-9-none",3,1,0.666666666666667,0,2.33333333333333
"3","H2-9-3","H2-9-1",4,0,3,0.577350269189626,1
"1","H2-9-1","H2-9-3",1,0,2.33333333333333,0,-1.33333333333333
"x"
"1" "
"
"x"
"1" "L1_11"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"1","L1-11-1","L1-11-2",16,1.73205080756888,10.3333333333333,1.15470053837925,5.66666666666667
"6","L1-11-none","L1-11-1",6,0,2,1.15470053837925,4
"8","L1-11-none","L1-11-3",6.66666666666667,0.577350269189626,3,1.52752523165195,3.66666666666667
"7","L1-11-none","L1-11-2",3,0,0,0,3
"3","L1-11-2","L1-11-1",22,1,19.6666666666667,1.52752523165195,2.33333333333333
"2","L1-11-1","L1-11-none",3.66666666666667,0.577350269189626,1.66666666666667,0,2
"5","L1-11-3","L1-11-none",5.33333333333333,1.15470053837925,3.66666666666667,0,1.66666666666667
"4","L1-11-2","L1-11-none",0.333333333333333,0.577350269189626,0,0,0.333333333333333
"x"
"1" "
"
"x"
"1" "L1_12"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"2","L1-12-1","L1-12-none",3.66666666666667,0.577350269189626,0,0,3.66666666666667
"3","L1-12-2","L1-12-1",3.66666666666667,1.15470053837925,2.66666666666667,0.577350269189626,1
"4","L1-12-none","L1-12-1",1,0,0,0,1
"5","L1-12-none","L1-12-2",1,0,0,0,1
"1","L1-12-1","L1-12-2",2.33333333333333,0.577350269189626,3.66666666666667,1.15470053837925,-1.33333333333333
"x"
"1" "
"
"x"
"1" "L1_13"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"2","L1-13-none","L1-13-1",2,0,0,0,2
"1","L1-13-1","L1-13-none",1.33333333333333,0.577350269189626,0,0,1.33333333333333
"x"
"1" "
"
"x"
"1" "L1_14"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"3","L1-14-none","L1-14-2",6,0,0,0,6
"2","L1-14-2","L1-14-none",1.66666666666667,1.15470053837925,0.333333333333333,0,1.33333333333333
"1","L1-14-1","L1-14-2",0,0,0.666666666666667,0.577350269189626,-0.666666666666667
"x"
"1" "
"
"x"
"1" "L1_15"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"2","L1-15-none","L1-15-1",4,0,2,0,2
"1","L1-15-1","L1-15-none",2,1,1,0,1
"x"
"1" "
"
"x"
"1" "L1_16"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"2","L1-16-none","L1-16-1",10,0,3,1.52752523165195,7
"1","L1-16-1","L1-16-none",4.66666666666667,0.577350269189626,3.66666666666667,0,1
"x"
"1" "
"
"x"
"1" "L2_8"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"3","L2-8-1","L2-8-4",11.3333333333333,1.52752523165195,3.33333333333333,1.15470053837925,8
"4","L2-8-1","L2-8-none",13,1,5,0,8
"9","L2-8-none","L2-8-1",11.6666666666667,1.15470053837925,5,1.73205080756888,6.66666666666667
"1","L2-8-1","L2-8-2",23.6666666666667,4.16333199893227,21.3333333333333,0,2.33333333333334
"5","L2-8-2","L2-8-1",19,0,17,4.16333199893227,2
